POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
20077,Hidalgo,Acatlán,0,0,2,0,0,0,0,0,0
40583,Hidalgo,Acaxochitlán,0,0,1,0,0,1,0,1,0
54299,Hidalgo,Actopan,0,0,0,0,0,0,1,0,0
8994,Hidalgo,Agua Blanca de Iturbide,0,0,0,0,0,0,0,0,0
17055,Hidalgo,Ajacuba,0,0,0,0,0,0,0,0,0
18879,Hidalgo,Alfajayucan,0,0,0,0,0,0,0,0,0
11294,Hidalgo,Almoloya,0,0,0,0,0,0,0,0,0
42563,Hidalgo,Apan,1,0,0,0,0,1,0,0,0
17374,Hidalgo,El Arenal,0,0,0,0,0,0,0,0,0
26904,Hidalgo,Atitalaquia,0,0,0,2,0,0,0,0,0
19452,Hidalgo,Atlapexco,0,0,0,0,0,0,0,0,0
26940,Hidalgo,Atotonilco el Grande,0,0,0,0,0,1,0,0,0
31078,Hidalgo,Atotonilco de Tula,0,0,0,0,0,0,0,0,0
16962,Hidalgo,Calnali,0,0,0,0,0,0,0,0,0
18427,Hidalgo,Cardonal,0,0,0,1,0,0,0,0,0
54500,Hidalgo,Cuautepec de Hinojosa,0,2,0,2,0,0,0,0,0
12271,Hidalgo,Chapantongo,0,0,0,0,0,0,0,0,0
22402,Hidalgo,Chapulhuacán,0,0,0,0,0,0,0,0,0
17436,Hidalgo,Chilcuautla,0,0,0,1,0,0,0,0,0
2800,Hidalgo,Eloxochitlán,0,0,0,0,0,0,0,0,0
13357,Hidalgo,Emiliano Zapata,0,0,0,0,0,0,0,0,0
13830,Hidalgo,Epazoyucan,0,0,0,0,1,1,2,1,0
33901,Hidalgo,Francisco I. Madero,0,0,0,0,0,0,0,1,0
17182,Hidalgo,Huasca de Ocampo,0,0,0,0,0,0,1,1,0
22621,Hidalgo,Huautla,0,0,0,0,0,1,0,0,0
12779,Hidalgo,Huazalingo,0,0,0,0,0,0,0,0,0
23563,Hidalgo,Huehuetla,1,0,0,0,0,1,0,0,0
122905,Hidalgo,Huejutla de Reyes,0,0,0,3,1,0,0,0,0
44253,Hidalgo,Huichapan,0,0,0,0,0,0,0,0,0
86363,Hidalgo,Ixmiquilpan,0,0,0,2,2,2,1,0,0
12804,Hidalgo,Jacala de Ledezma,0,0,0,0,0,0,0,0,0
10933,Hidalgo,Jaltocán,0,0,0,0,0,0,0,0,0
3193,Hidalgo,Juárez Hidalgo,0,0,0,0,0,0,0,2,0
9843,Hidalgo,Lolotla,0,0,0,0,0,0,0,0,0
11429,Hidalgo,Metepec,0,0,0,0,0,0,0,0,0
9364,Hidalgo,San Agustín Metzquititlán,0,0,0,0,0,1,0,0,0
21623,Hidalgo,Metztitlán,0,0,0,0,0,0,0,1,0
7980,Hidalgo,Mineral del Chico,0,0,0,0,0,1,1,0,0
13864,Hidalgo,Mineral del Monte,0,0,0,0,0,0,1,0,0
10452,Hidalgo,La Misión,0,0,0,0,0,0,0,0,0
42834,Hidalgo,Mixquiahuala de Juárez,0,0,0,0,0,0,0,0,0
11209,Hidalgo,Molango de Escamilla,0,0,0,0,0,0,0,0,0
6614,Hidalgo,Nicolás Flores,0,0,0,0,0,0,0,0,0
15666,Hidalgo,Nopala de Villagrán,0,0,0,0,0,0,0,0,0
8963,Hidalgo,Omitlán de Juárez,0,0,0,0,0,0,0,0,0
39181,Hidalgo,San Felipe Orizatlán,0,0,0,0,0,0,0,0,0
5049,Hidalgo,Pacula,0,0,0,0,0,1,0,0,0
267862,Hidalgo,Pachuca de Soto,1,1,8,5,11,59,13,2,0
18244,Hidalgo,Pisaflores,0,0,0,0,0,0,0,0,0
22217,Hidalgo,Progreso de Obregón,0,0,0,0,0,0,0,0,0
127404,Hidalgo,Mineral de la Reforma,0,0,0,1,2,6,6,0,1
32057,Hidalgo,San Agustín Tlaxiaca,0,0,0,0,0,0,0,0,0
18137,Hidalgo,San Bartolo Tutotepec,0,0,0,0,0,0,0,0,0
32773,Hidalgo,San Salvador,0,0,0,0,0,0,1,0,0
16014,Hidalgo,Santiago de Anaya,0,0,0,0,0,0,1,2,0
33495,Hidalgo,Santiago Tulantepec de Lugo Guerre,0,0,0,0,1,2,0,0,0
14851,Hidalgo,Singuilucan,0,0,0,0,1,1,0,0,0
16865,Hidalgo,Tasquillo,0,0,0,0,0,0,0,0,0
35067,Hidalgo,Tecozautla,0,0,0,0,0,0,0,0,1
17206,Hidalgo,Tenango de Doria,0,0,0,0,0,0,0,0,0
