POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
2791,Nuevo León,Abasolo,0,0,0,0,0,0,0,0,0
3443,Nuevo León,Agualeguas,0,0,0,0,0,0,0,0,0
1374,Nuevo León,Los Aldamas,0,0,0,0,0,0,0,1,0
32593,Nuevo León,Allende,0,1,0,1,4,12,5,1,1
18480,Nuevo León,Anáhuac,0,0,0,0,0,1,10,1,1
523370,Nuevo León,Apodaca,0,0,2,5,18,37,5,1,11
15470,Nuevo León,Aramberri,1,0,0,0,0,0,0,0,0
3773,Nuevo León,Bustamante,0,0,0,0,0,0,0,0,0
86445,Nuevo León,Cadereyta Jiménez,0,22,9,5,20,50,14,6,2
16092,Nuevo León,Carmen,0,0,0,0,0,0,0,0,0
7855,Nuevo León,Cerralvo,0,0,0,0,1,8,4,0,0
24526,Nuevo León,Ciénega de Flores,0,0,2,2,2,3,4,2,9
10864,Nuevo León,China,0,0,0,0,1,8,1,1,1
35445,Nuevo León,Dr. Arroyo,0,0,0,0,0,1,0,0,0
1716,Nuevo León,Dr. Coss,0,0,0,0,0,0,0,0,0
3345,Nuevo León,Dr. González,0,0,0,0,0,0,0,0,0
39991,Nuevo León,Galeana,0,0,0,0,0,0,0,3,0
143668,Nuevo León,García,0,2,0,1,0,1,1,4,1
122659,Nuevo León,San Pedro Garza García,0,0,4,0,9,5,5,6,8
5527,Nuevo León,Gral. Bravo,0,0,0,1,1,1,0,0,1
357937,Nuevo León,Gral. Escobedo,0,0,4,0,4,8,4,2,7
14437,Nuevo León,Gral. Terán,0,0,0,0,0,3,3,0,0
1277,Nuevo León,Gral. Treviño,0,0,0,0,0,0,0,0,0
5942,Nuevo León,Gral. Zaragoza,0,0,0,0,0,0,0,0,0
55213,Nuevo León,Gral. Zuazua,0,0,0,1,2,3,0,1,2
678006,Nuevo León,Guadalupe,1,4,2,4,17,22,16,4,15
2030,Nuevo León,Los Herreras,0,0,0,0,1,0,0,0,0
1594,Nuevo León,Higueras,0,0,0,0,0,0,0,0,0
6914,Nuevo León,Hualahuises,0,0,0,0,0,5,0,0,0
3558,Nuevo León,Iturbide,0,0,0,0,0,0,0,0,0
256970,Nuevo León,Juárez,0,1,1,2,7,8,4,1,5
5349,Nuevo León,Lampazos de Naranjo,0,0,0,0,0,0,4,0,0
78669,Nuevo León,Linares,0,1,0,1,0,27,6,0,0
5488,Nuevo León,Marín,0,0,0,0,0,0,0,0,4
862,Nuevo León,Melchor Ocampo,0,0,0,0,0,0,0,0,0
7095,Nuevo León,Mier y Noriega,0,0,0,0,0,0,0,0,0
5447,Nuevo León,Mina,0,0,0,0,0,0,0,0,0
59113,Nuevo León,Montemorelos,0,1,0,2,9,25,1,1,4
1135550,Nuevo León,Monterrey,0,7,7,29,128,60,43,23,21
1034,Nuevo León,Parás,0,0,0,0,0,0,0,0,0
20843,Nuevo León,Pesquería,0,0,0,0,0,6,0,1,0
5359,Nuevo León,Los Ramones,0,0,0,1,0,0,0,0,0
2628,Nuevo León,Rayones,0,0,0,0,0,0,0,0,0
34671,Nuevo León,Sabinas Hidalgo,0,0,0,0,0,6,5,1,2
32660,Nuevo León,Salinas Victoria,0,0,0,0,1,5,0,1,0
443273,Nuevo León,San Nicolás de los Garz,0,2,1,3,21,18,9,5,4
16604,Nuevo León,Hidalgo,0,0,0,0,0,0,0,0,2
268955,Nuevo León,Santa Catarina,0,19,6,1,3,12,12,9,2
40469,Nuevo León,Santiago,0,4,3,8,30,3,1,1,0
1971,Nuevo León,Vallecillo,0,0,0,0,0,0,0,0,0
4113,Nuevo León,Villaldama,0,0,0,0,4,0,0,0,0
12070,Tamaulipas,Abasolo,0,0,0,0,7,6,6,13,7
29470,Tamaulipas,Aldama,0,0,0,0,2,7,3,3,5
212001,Tamaulipas,Altamira,0,1,0,1,4,27,52,36,35
9003,Tamaulipas,Antiguo Morelos,0,0,0,0,0,0,1,0,0
4589,Tamaulipas,Burgos,0,0,0,0,0,2,0,0,0
7636,Tamaulipas,Bustamante,0,0,0,0,0,0,0,0,0
14933,Tamaulipas,Camargo,0,0,0,0,16,11,8,1,1
4423,Tamaulipas,Casas,0,1,0,0,0,2,5,1,0
197216,Tamaulipas,Ciudad Madero,0,1,0,2,6,30,30,12,28
2011,Tamaulipas,Cruillas,0,0,0,0,0,0,0,1,1
8786,Tamaulipas,Gómez Farías,0,0,0,0,0,0,0,0,0
43435,Tamaulipas,González,0,0,0,0,3,2,25,17,15
15659,Tamaulipas,Güémez,0,0,0,0,0,0,10,4,3
4477,Tamaulipas,Guerrero,0,0,0,0,4,17,6,0,3
15775,Tamaulipas,Gustavo Díaz Ordaz,0,0,0,0,3,2,8,3,1
23793,Tamaulipas,Hidalgo,0,0,0,0,0,18,5,1,7
15105,Tamaulipas,Jaumave,0,0,0,0,0,4,0,0,1
8338,Tamaulipas,Jiménez,0,0,0,1,8,3,12,4,11
17333,Tamaulipas,Llera,0,0,0,0,0,0,12,3,2
2579,Tamaulipas,Mainero,0,0,0,0,0,2,0,2,0
115792,Tamaulipas,El Mante,0,0,0,0,8,19,23,32,29
489193,Tamaulipas,Matamoros,5,27,32,63,437,409,139,150,116
4530,Tamaulipas,Méndez,0,0,0,0,0,0,2,1,0
4762,Tamaulipas,Mier,0,1,0,0,18,21,10,7,9
27015,Tamaulipas,Miguel Alemán,1,0,0,0,11,38,14,9,7
3514,Tamaulipas,Miquihuana,0,0,0,0,0,0,0,0,0
384033,Tamaulipas,Nuevo Laredo,7,10,9,66,156,208,234,111,117
3381,Tamaulipas,Nuevo Morelos,0,0,0,0,0,0,0,0,0
12962,Tamaulipas,Ocampo,0,0,0,0,0,0,0,1,1
14020,Tamaulipas,Padilla,0,0,0,2,0,8,4,8,9
1795,Tamaulipas,Palmillas,0,0,0,0,0,0,0,0,0
608891,Tamaulipas,Reynosa,1,25,24,54,133,191,174,113,133
118259,Tamaulipas,Río Bravo,0,0,0,1,5,0,7,7,3
9331,Tamaulipas,San Carlos,0,0,0,0,0,0,0,2,0
57220,Tamaulipas,San Fernando,0,0,0,0,5,5,14,26,26
1031,Tamaulipas,San Nicolás,0,0,0,0,0,0,0,0,0
24764,Tamaulipas,Soto la Marina,0,0,0,0,8,10,13,7,7
297554,Tamaulipas,Tampico,1,1,0,8,25,77,70,37,116
27572,Tamaulipas,Tula,0,0,0,0,0,0,0,0,0
63170,Tamaulipas,Valle Hermoso,0,0,0,5,25,40,70,28,10
321953,Tamaulipas,Victoria,0,9,0,3,11,64,111,116,127
6316,Tamaulipas,Villagrán,0,0,0,0,1,3,0,0,0
22864,Tamaulipas,Xicoténcatl,0,0,1,1,5,1,3,5,1
1070,Coahuila,Abasolo,0,0,0,0,0,0,0,0,0
136755,Coahuila,Acuña,0,6,2,4,30,10,0,9,1
22675,Coahuila,Allende,0,0,0,0,0,9,0,0,0
22544,Coahuila,Arteaga,0,0,0,0,1,0,0,2,0
1808,Coahuila,Candela,0,0,0,1,0,0,0,0,0
25892,Coahuila,Castaños,0,0,0,0,0,1,0,0,0
13013,Coahuila,Cuatro Ciénegas,0,0,0,0,0,0,0,0,0
2901,Coahuila,Escobedo,0,0,0,0,0,0,0,0,0
55676,Coahuila,Francisco I. Madero,1,0,0,3,5,1,6,1,2
75215,Coahuila,Frontera,0,0,0,0,1,1,1,10,2
11682,Coahuila,General Cepeda,0,0,0,0,0,0,0,0,0
2091,Coahuila,Guerrero,0,0,0,0,0,0,0,0,1
1852,Coahuila,Hidalgo,0,0,0,0,0,0,0,1,2
9935,Coahuila,Jiménez,0,0,0,0,0,0,0,0,0
1599,Coahuila,Juárez,0,0,0,0,0,0,0,0,0
1835,Coahuila,Lamadrid,0,0,0,0,0,0,0,0,0
107160,Coahuila,Matamoros,0,0,2,3,3,6,5,0,3
216206,Coahuila,Monclova,0,7,8,4,7,28,25,33,7
8207,Coahuila,Morelos,0,0,0,0,1,0,0,0,0
66834,Coahuila,Múzquiz,0,0,0,0,0,0,5,1,0
6335,Coahuila,Nadadores,0,0,0,0,0,0,0,0,0
27928,Coahuila,Nava,0,0,1,0,0,1,0,0,2
10991,Coahuila,Ocampo,0,0,0,0,0,0,0,1,0
45401,Coahuila,Parras,0,0,0,0,1,0,0,0,3
152806,Coahuila,Piedras Negras,0,6,1,11,30,48,38,15,11
3473,Coahuila,Progreso,0,0,0,0,0,0,0,0,0
75461,Coahuila,Ramos Arizpe,0,0,0,0,1,2,2,3,0
60847,Coahuila,Sabinas,0,0,0,0,0,0,4,5,1
2314,Coahuila,Sacramento,0,0,0,0,0,0,0,0,0
725123,Coahuila,Saltillo,0,6,6,3,41,54,9,104,44
22149,Coahuila,San Buenaventura,0,0,0,0,1,2,5,2,0
41649,Coahuila,San Juan de Sabinas,0,0,0,0,0,0,0,3,0
102650,Coahuila,San Pedro,0,1,4,5,7,11,11,2,4
6375,Coahuila,Sierra Mojada,0,0,0,0,0,0,0,0,0
639629,Coahuila,Torreón,0,29,78,82,97,82,25,41,20
21319,Coahuila,Viesca,0,0,0,0,0,0,0,0,0
6289,Coahuila,Villa Unión,0,0,0,0,0,0,0,0,0
12702,Coahuila,Zaragoza,0,0,0,1,1,2,0,0,0
