POB1,nom_estado,cve_mun,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
31401,Durango,10001,Canatlán,0,0,0,0,0,3,0,0,0
4122,Durango,10002,Canelas,0,0,0,0,0,0,0,0,0
4530,Durango,10003,Coneto de Comonfort,0,0,0,0,0,0,0,0,0
33664,Durango,10004,Cuencamé,0,0,0,1,0,0,0,0,0
582267,Durango,10005,Durango,2,11,18,30,141,51,39,18,19
10629,Durango,10006,General Simón Bolívar,0,0,0,0,0,0,0,0,0
327985,Durango,10007,Gómez Palacio,0,0,0,1,0,1,0,0,0
34052,Durango,10008,Guadalupe Victoria,0,0,0,1,0,1,0,0,0
10149,Durango,10009,Guanaceví,0,0,0,0,0,0,0,0,0
4265,Durango,10010,Hidalgo,0,0,0,0,0,0,0,0,0
5280,Durango,10011,Indé,0,0,0,0,0,0,0,0,0
141043,Durango,10012,Lerdo,0,0,0,0,0,1,0,0,0
25137,Durango,10013,Mapimí,0,0,0,0,0,0,0,0,0
33396,Durango,10014,Mezquital,0,0,0,1,1,0,0,0,0
12411,Durango,10015,Nazas,0,0,0,0,0,0,0,0,0
18488,Durango,10016,Nombre de Dios,0,0,0,0,0,0,0,0,0
9626,Durango,10017,Ocampo,0,0,0,0,0,0,0,0,0
11320,Durango,10018,El Oro,0,0,0,0,0,1,0,0,0
5208,Durango,10019,Otáez,0,0,0,0,0,0,0,0,0
11927,Durango,10020,Pánuco de Coronado,0,0,0,0,0,0,1,0,0
10473,Durango,10021,Peñón Blanco,0,0,0,0,0,0,1,0,0
24918,Durango,10022,Poanas,0,0,0,0,0,0,0,0,0
49162,Durango,10023,Pueblo Nuevo,0,2,0,3,1,0,2,0,0
12788,Durango,10024,Rodeo,0,0,0,0,0,0,0,0,0
3433,Durango,10025,San Bernardo,0,0,0,0,0,0,0,0,0
19691,Durango,10026,San Dimas,0,0,1,0,2,0,2,1,0
5947,Durango,10027,San Juan de Guadalupe,0,0,0,0,0,0,0,0,0
11855,Durango,10028,San Juan del Río,0,0,0,1,0,0,0,0,0
2181,Durango,10029,San Luis del Cordero,0,0,0,0,0,0,0,0,0
1709,Durango,10030,San Pedro del Gallo,0,0,0,0,0,0,0,0,0
7003,Durango,10031,Santa Clara,0,0,0,0,0,0,0,0,0
44966,Durango,10032,Santiago Papasquiaro,0,0,0,0,4,0,0,0,0
6761,Durango,10033,Súchil,0,0,0,0,0,0,0,0,0
26368,Durango,10034,Tamazula,0,0,0,0,0,0,0,2,0
10745,Durango,10035,Tepehuanes,0,0,0,1,0,1,0,0,0
