POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
789971,Guerrero,Acapulco de Juárez,3,11,4,4,9,19,3,23,85
25027,Guerrero,Ahuacuotzingo,0,0,0,0,0,0,0,0,0
38203,Guerrero,Ajuchitlán del Progreso,0,0,0,0,0,1,0,1,2
18971,Guerrero,Alcozauca de Guerrero,0,0,0,0,0,0,0,0,0
6637,Guerrero,Alpoyeca,0,0,0,0,0,0,0,0,0
12389,Guerrero,Apaxtla,0,0,0,0,0,0,1,0,2
32181,Guerrero,Arcelia,0,0,0,0,0,2,0,1,2
8390,Guerrero,Atenango del Río,0,0,0,0,0,0,0,0,0
5706,Guerrero,Atlamajalcingo del Monte,0,0,0,0,0,0,0,0,0
26341,Guerrero,Atlixtac,0,0,0,0,0,0,0,0,0
61316,Guerrero,Atoyac de Álvarez,0,0,0,0,0,0,0,1,1
62690,Guerrero,Ayutla de los Libres,0,0,0,1,0,0,2,1,0
14429,Guerrero,Azoyú,0,0,0,0,0,0,1,0,0
15019,Guerrero,Benito Juárez,0,0,0,0,0,0,0,1,0
12688,Guerrero,Buenavista de Cuéllar,0,0,0,0,0,0,0,0,1
13025,Guerrero,Coahuayutla de José María Izaza,0,0,0,0,0,0,0,0,0
14707,Guerrero,Cocula,0,0,2,0,0,0,1,1,0
13636,Guerrero,Copala,0,0,0,0,0,0,0,0,2
14456,Guerrero,Copalillo,0,0,0,0,0,0,0,0,0
18855,Guerrero,Copanatoyac,0,0,0,0,0,0,0,0,0
73460,Guerrero,Coyuca de Benítez,0,0,0,0,0,0,0,0,3
42069,Guerrero,Coyuca de Catalán,0,1,0,0,0,0,0,4,0
25922,Guerrero,Cuajinicuilapa,0,0,0,0,0,0,0,0,0
7007,Guerrero,Cualác,0,0,0,0,0,0,0,0,0
15115,Guerrero,Cuautepec,0,0,0,0,0,0,0,0,0
9166,Guerrero,Cuetzala del Progreso,0,0,0,0,0,0,0,1,0
21388,Guerrero,Cutzamala de Pinzón,0,0,0,0,0,1,0,0,0
120790,Guerrero,Chilapa de Álvarez,0,0,0,0,2,3,0,0,25
241717,Guerrero,Chilpancingo de los Bravo,0,2,0,2,1,6,24,46,19
20175,Guerrero,Florencio Villarreal,0,0,0,0,0,0,0,0,0
6301,Guerrero,General Canuto A. Neri,0,0,0,0,0,0,0,0,0
36586,Guerrero,General Heliodoro Castillo,0,0,0,0,0,0,0,0,0
14393,Guerrero,Huamuxtitlán,0,0,0,0,0,0,0,0,0
37364,Guerrero,Huitzuco de los Figueroa,0,0,0,0,0,0,0,0,0
140363,Guerrero,Iguala de la Independencia,0,1,6,1,1,0,4,7,69
10815,Guerrero,Igualapa,0,0,0,0,0,0,0,0,0
6603,Guerrero,Ixcateopan de Cuauhtémoc,0,1,0,0,0,0,0,0,0
118211,Guerrero,José Azueta,0,0,0,0,0,0,0,0,0
24364,Guerrero,Juan R. Escudero,0,0,1,0,0,0,0,1,1
24720,Guerrero,Leonardo Bravo,0,0,0,0,0,0,0,0,1
29599,Guerrero,Malinaltepec,0,0,0,0,0,0,0,0,0
17702,Guerrero,Mártir de Cuilapan,0,0,0,0,1,0,0,0,0
18976,Guerrero,Metlatónoc,0,0,0,0,0,0,0,0,0
11376,Guerrero,Mochitlán,0,0,0,0,0,0,0,0,0
24723,Guerrero,Olinalá ,0,0,0,0,0,0,0,0,0
61306,Guerrero,Ometepec,0,0,0,0,0,0,0,4,1
6978,Guerrero,Pedro Ascencio Alquisiras,0,0,0,0,0,0,0,0,0
44979,Guerrero,Petatlán,0,0,0,0,0,0,0,0,0
11558,Guerrero,Pilcaya,0,0,0,0,0,1,0,0,0
37035,Guerrero,Pungarabato,0,0,0,0,0,0,1,2,6
34728,Guerrero,Quechultenango,0,0,0,0,0,0,1,0,1
42360,Guerrero,San Luis Acatlán,0,0,0,0,0,0,0,0,1
48501,Guerrero,San Marcos,0,0,0,0,0,0,0,0,0
28009,Guerrero,San Miguel Totolapan,0,0,0,0,0,1,1,2,0
104053,Guerrero,Taxco de Alarcón,0,0,0,0,3,2,3,10,8
44079,Guerrero,Tecoanapa,0,0,0,0,0,0,0,0,0
62071,Guerrero,Técpan de Galeana,0,0,0,0,0,0,4,2,0
53769,Guerrero,Teloloapan,0,0,0,0,0,0,0,0,15
30470,Guerrero,Tepecoacuilco de Trujano,0,0,1,0,0,0,0,1,0
13128,Guerrero,Tetipac,0,0,0,0,0,0,0,0,0
40058,Guerrero,Tixtla de Guerrero,0,0,0,0,0,0,0,0,0
21306,Guerrero,Tlacoachistlahuaca,0,0,0,0,0,1,0,0,0
9967,Guerrero,Tlacoapa,0,0,0,0,0,0,0,0,0
11495,Guerrero,Tlalchapa,0,0,0,0,0,0,0,0,0
7096,Guerrero,Tlalixtaquilla de Maldonado,0,0,0,0,0,0,0,0,0
81419,Guerrero,Tlapa de Comonfort,0,0,0,0,0,0,2,1,0
21819,Guerrero,Tlapehuala,0,0,0,0,0,0,0,0,0
25712,Guerrero,La Unión de Isidoro Montes de O,0,0,1,0,0,0,0,0,0
12240,Guerrero,Xalpatláhuac,0,0,0,0,0,0,0,0,0
7079,Guerrero,Xochihuehuetlán,0,0,0,0,0,0,0,0,0
28089,Guerrero,Xochistlahuaca,0,0,0,0,0,0,0,0,0
10516,Guerrero,Zapotitlán Tablas,0,0,0,0,0,0,0,0,0
18813,Guerrero,Zirándaro,0,0,0,0,0,1,0,1,0
22587,Guerrero,Zitlala,0,0,0,0,0,0,0,0,1
46158,Guerrero,Eduardo Neri,0,0,0,0,1,0,0,3,2
32792,Guerrero,Acatepec,0,0,0,0,0,0,0,0,0
12912,Guerrero,Marquelia,0,0,0,0,0,0,0,0,0
18778,Guerrero,Cochoapa el Grande,0,0,0,0,0,0,0,0,0
15678,Guerrero,José Joaquín de Herrera,0,0,0,0,0,0,0,0,0
7166,Guerrero,Juchitán,0,0,0,0,0,0,0,0,0
10522,Guerrero,Iliatenco,0,0,0,0,0,0,0,0,0
21206,Jalisco,Acatic,0,0,0,0,0,1,0,0,0
23241,Jalisco,Acatlán de Juárez,0,0,0,0,0,0,3,3,1
21714,Jalisco,Ahualulco de Mercado,0,0,0,0,0,2,0,0,3
5545,Jalisco,Amacueca,0,0,0,0,0,0,0,0,0
14648,Jalisco,Amatitán,0,0,1,0,1,2,2,1,2
57340,Jalisco,Ameca,0,0,2,0,0,0,4,6,8
8896,Jalisco,San Juanito de Escobedo,0,0,0,0,0,0,0,2,0
72812,Jalisco,Arandas,0,0,0,0,1,4,3,5,2
17545,Jalisco,El Arenal,0,0,0,0,0,0,0,4,0
6655,Jalisco,Atemajac de Brizuela,0,0,0,0,0,0,0,0,1
5400,Jalisco,Atengo,0,0,0,0,0,0,1,0,0
4115,Jalisco,Atenguillo,0,0,0,0,0,0,0,0,0
57717,Jalisco,Atotonilco el Alto,0,0,0,1,3,8,5,11,1
8276,Jalisco,Atoyac,0,0,0,0,0,0,0,0,1
57559,Jalisco,Autlán de Navarro,0,0,0,1,7,12,5,6,9
38291,Jalisco,Ayotlán,0,0,1,0,0,10,3,5,3
12664,Jalisco,Ayutla,0,0,0,1,0,5,0,1,2
64269,Jalisco,La Barca,0,1,0,2,6,6,11,21,1
6820,Jalisco,Bolaños,0,0,0,0,0,0,0,0,0
10029,Jalisco,Cabo Corrientes,0,0,0,0,0,0,0,2,0
21475,Jalisco,Casimiro Castillo,0,0,0,0,1,1,7,3,15
39020,Jalisco,Cihuatlán,0,1,0,1,0,2,1,10,7
100534,Jalisco,Zapotlán el Grande,0,0,0,0,2,6,3,4,2
26174,Jalisco,Cocula,0,0,0,0,0,1,1,2,1
18091,Jalisco,Colotlán,0,0,0,0,0,1,0,1,0
5933,Jalisco,Concepción de Buenos Aires,0,0,0,0,0,0,0,0,0
17322,Jalisco,Cuautitlán de García Barrag,0,0,0,0,0,0,5,3,1
2171,Jalisco,Cuautla,0,0,0,0,0,0,1,0,0
17795,Jalisco,Cuquío,0,0,0,0,0,1,0,0,1
48839,Jalisco,Chapala,0,0,0,0,1,2,4,4,1
3771,Jalisco,Chimaltitán,0,0,0,0,0,1,0,2,0
5814,Jalisco,Chiquilistlán,0,0,0,0,0,2,0,0,0
21132,Jalisco,Degollado,0,0,0,0,1,4,0,1,0
2082,Jalisco,Ejutla,0,0,0,0,0,0,1,0,0
51396,Jalisco,Encarnación de Díaz,0,0,0,0,0,0,0,0,12
18632,Jalisco,Etzatlán,0,0,0,0,0,0,1,3,0
23845,Jalisco,El Grullo,0,0,1,0,3,10,3,4,3
4323,Jalisco,Guachinango,0,0,0,0,0,0,0,0,1
1495189,Jalisco,Guadalajara,2,26,24,41,40,100,68,91,89
10284,Jalisco,Hostotipaquillo,0,0,0,0,0,0,1,0,0
6084,Jalisco,Huejúcar,0,0,0,1,0,0,0,0,0
8781,Jalisco,Huejuquilla el Alto,0,0,0,0,0,1,0,1,0
23428,Jalisco,La Huerta,0,0,0,0,0,0,4,26,7
41060,Jalisco,Ixtlahuacán de los Membrill,0,0,0,0,0,1,3,4,3
19005,Jalisco,Ixtlahuacán del Río,0,0,1,1,1,0,5,0,0
31948,Jalisco,Jalostotitlán,0,0,0,0,0,1,0,0,1
22881,Jalisco,Jamay,0,0,0,0,0,0,0,0,0
18634,Jalisco,Jesús María,0,0,0,0,2,0,0,1,0
9545,Jalisco,Jilotlán de los Dolores,0,0,0,1,4,0,1,0,0
42164,Jalisco,Jocotepec,0,0,0,0,0,2,2,3,0
13218,Jalisco,Juanacatlán,0,0,0,0,0,0,0,0,0
5515,Jalisco,Juchitlán,0,0,0,0,0,0,1,1,1
153817,Jalisco,Lagos de Moreno,0,0,0,0,0,0,1,12,3
5499,Jalisco,El Limón,0,0,0,0,0,0,0,2,0
21321,Jalisco,Magdalena,0,0,0,0,0,1,4,3,0
2517,Jalisco,Santa María del Oro,0,0,0,0,2,1,2,0,0
3755,Jalisco,La Manzanilla de la Paz,0,0,0,0,0,0,0,0,0
14245,Jalisco,Mascota,0,1,0,2,0,0,0,0,0
13225,Jalisco,Mazamitla,0,0,0,0,2,1,2,3,1
6034,Jalisco,Mexticacán,0,0,0,0,0,0,0,0,0
18084,Jalisco,Mezquitic,0,0,0,0,0,0,0,0,0
3574,Jalisco,Mixtlán,0,0,0,0,0,0,0,1,1
92967,Jalisco,Ocotlán,0,0,1,2,1,3,4,7,6
30097,Jalisco,Ojuelos de Jalisco,0,0,0,0,0,1,0,0,0
12119,Jalisco,Pihuamo,0,0,0,0,6,3,0,0,0
48408,Jalisco,Poncitlán,0,1,0,0,0,0,6,2,1
255681,Jalisco,Puerto Vallarta,0,4,1,6,20,16,15,27,17
11623,Jalisco,Villa Purificación,0,0,0,0,0,0,2,2,0
8691,Jalisco,Quitupan,0,0,0,0,1,2,0,1,0
138226,Jalisco,El Salto,0,0,0,0,2,3,8,9,1
3176,Jalisco,San Cristóbal de la Barranc,0,0,0,0,0,0,0,0,0
6647,Jalisco,San Diego de Alejandría,0,0,0,0,0,0,1,1,0
65219,Jalisco,San Juan de los Lagos,0,0,0,0,1,0,1,0,4
15454,Jalisco,San Julián,0,0,0,0,0,1,0,0,0
3762,Jalisco,San Marcos,0,0,0,0,0,0,0,0,0
3405,Jalisco,San Martín de Bolaños,0,0,0,0,0,0,0,2,2
26306,Jalisco,San Martín Hidalgo,0,0,0,0,0,0,0,0,0
31166,Jalisco,San Miguel el Alto,0,0,0,1,0,0,0,0,2
14011,Jalisco,Gómez Farías,0,0,0,0,0,0,0,1,2
5755,Jalisco,San Sebastián del Oeste,0,0,0,0,1,1,0,1,0
3726,Jalisco,Santa María de los Ángeles,0,0,0,0,0,1,0,1,0
34829,Jalisco,Sayula,0,0,0,0,0,0,1,8,3
69031,Jalisco,Tala,0,1,0,0,1,0,1,14,16
14410,Jalisco,Talpa de Allende,0,0,0,0,1,0,2,3,0
37986,Jalisco,Tamazula de Gordiano,0,1,0,5,1,3,2,2,0
18096,Jalisco,Tapalpa,0,0,0,0,0,0,0,7,1
16847,Jalisco,Tecalitlán,0,1,1,0,0,2,2,1,0
16573,Jalisco,Tecolotlán,0,0,0,0,1,1,5,0,0
3511,Jalisco,Techaluta de Montenegro,0,0,0,0,0,0,0,4,0
7051,Jalisco,Tenamaxtlán,0,0,0,0,0,0,2,0,0
40105,Jalisco,Teocaltiche,0,0,0,1,0,3,2,0,0
10837,Jalisco,Teocuitatlán de Corona,0,0,0,0,0,1,1,0,0
136123,Jalisco,Tepatitlán de Morelos,0,0,0,0,1,1,4,9,15
40697,Jalisco,Tequila,0,0,2,1,1,2,2,6,2
9088,Jalisco,Teuchitlán,0,0,0,0,0,0,0,0,1
20857,Jalisco,Tizapán el Alto,0,0,0,0,0,1,3,6,2
416626,Jalisco,Tlajomulco de Zúñiga,0,1,3,1,2,11,17,47,15
608114,Jalisco,Tlaquepaque,2,6,10,5,12,11,20,32,35
9591,Jalisco,Tolimán,0,0,0,0,0,0,0,0,2
35050,Jalisco,Tomatlán,0,0,0,0,2,0,0,0,0
478689,Jalisco,Tonalá,0,2,4,4,7,6,8,31,39
5930,Jalisco,Tonaya,0,0,0,0,0,0,1,1,0
7256,Jalisco,Tonila,0,0,0,0,0,0,0,0,0
4435,Jalisco,Totatiche,0,0,0,0,1,0,0,0,0
21871,Jalisco,Tototlán,0,0,0,0,0,0,0,3,0
4234,Jalisco,Tuxcacuesco,0,0,0,0,0,5,1,8,2
6316,Jalisco,Tuxcueca,0,0,0,0,0,1,0,3,0
34182,Jalisco,Tuxpan,0,0,0,0,0,0,0,3,1
17325,Jalisco,Unión de San Antonio,0,0,0,0,0,0,0,0,0
13737,Jalisco,Unión de Tula,0,0,0,0,0,5,1,4,0
6705,Jalisco,Valle de Guadalupe,0,0,0,0,0,0,0,0,1
5798,Jalisco,Valle de Juárez,0,0,0,1,1,1,1,2,0
15310,Jalisco,San Gabriel,0,0,0,0,0,0,2,10,4
16969,Jalisco,Villa Corona,0,0,0,0,0,0,2,4,2
5638,Jalisco,Villa Guerrero,1,0,0,0,0,1,0,0,0
18711,Jalisco,Villa Hidalgo,0,0,0,0,0,0,0,1,0
4152,Jalisco,Cañadas de Obregón,0,0,0,0,1,0,0,0,0
22284,Jalisco,Yahualica de González Gallo,0,0,0,0,3,2,0,0,6
27901,Jalisco,Zacoalco de Torres,0,0,0,1,0,1,0,3,0
1243756,Jalisco,Zapopan,3,12,14,13,25,55,44,98,57
29192,Jalisco,Zapotiltic,0,1,0,1,0,1,1,2,0
6685,Jalisco,Zapotitlán de Vadillo,0,0,0,0,0,0,0,1,0
17585,Jalisco,Zapotlán del Rey,0,0,0,0,0,0,0,0,0
63636,Jalisco,Zapotlanejo,0,1,0,0,0,4,1,5,1
10987,Michoacán,Acuitzio,0,0,0,0,0,0,0,0,1
16214,Michoacán,Aguililla,0,0,2,1,0,0,1,1,1
20913,Michoacán,Álvaro Obregón,0,0,0,0,0,0,0,0,0
14684,Michoacán,Angamacutiro,0,0,0,0,0,0,0,1,0
10768,Michoacán,Angangueo,0,0,0,0,0,0,0,0,0
123649,Michoacán,Apatzingán,1,0,4,0,2,1,3,18,18
3218,Michoacán,Aporo,0,0,0,0,0,0,0,0,1
23536,Michoacán,Aquila,0,0,0,0,0,0,0,0,0
34848,Michoacán,Ario,0,0,0,0,0,0,0,0,0
21790,Michoacán,Arteaga,0,0,0,0,0,0,0,2,0
10653,Michoacán,Briseñas,0,0,0,0,0,1,0,2,0
42234,Michoacán,Buenavista,0,0,0,0,0,0,2,1,1
9212,Michoacán,Carácuaro,0,0,0,1,0,0,0,0,0
14136,Michoacán,Coahuayana,0,0,0,0,0,2,3,1,0
17615,Michoacán,Coalcomán de Vázquez Pallares,0,0,0,0,0,1,1,0,1
20492,Michoacán,Coeneo,0,0,0,0,0,0,0,0,0
32954,Michoacán,Contepec,0,0,0,0,0,0,0,1,0
8952,Michoacán,Copándaro,0,0,0,0,0,0,0,0,0
19644,Michoacán,Cotija,0,0,1,0,5,0,2,3,0
28227,Michoacán,Cuitzeo,0,0,0,0,0,0,0,0,1
12163,Michoacán,Charapan,0,0,0,0,0,0,0,0,0
21723,Michoacán,Charo,0,0,0,0,0,0,1,0,0
9975,Michoacán,Chavinda,0,0,0,0,0,0,0,0,0
18141,Michoacán,Cherán,0,0,0,1,0,0,1,0,0
36293,Michoacán,Chilchota,0,0,1,0,0,1,1,4,1
5271,Michoacán,Chinicuila,0,0,0,0,0,0,0,0,0
5166,Michoacán,Chucándiro,0,0,0,0,0,0,0,0,0
5564,Michoacán,Churintzio,0,0,0,0,0,0,0,0,0
14366,Michoacán,Churumuco,0,0,0,0,0,0,0,0,0
12855,Michoacán,Ecuandureo,0,0,0,0,0,0,0,4,0
16218,Michoacán,Epitacio Huerta,0,0,0,0,0,0,0,2,0
14555,Michoacán,Erongarícuaro,0,0,0,0,0,0,0,0,0
21294,Michoacán,Gabriel Zamora,0,0,0,0,0,0,0,0,0
117620,Michoacán,Hidalgo,0,1,0,1,0,0,5,4,7
32757,Michoacán,La Huacana,0,0,1,2,1,1,2,0,1
11592,Michoacán,Huandacareo,0,0,0,0,0,0,0,0,0
7983,Michoacán,Huaniqueo,0,0,0,0,0,0,0,0,0
41937,Michoacán,Huetamo,0,1,0,3,2,1,1,1,1
7925,Michoacán,Huiramba,0,0,0,0,0,0,0,0,0
16427,Michoacán,Indaparapeo,0,0,0,0,0,0,0,0,0
14766,Michoacán,Irimbo,0,0,0,3,0,0,0,0,0
13584,Michoacán,Ixtlán,0,0,0,0,0,0,5,1,1
64011,Michoacán,Jacona,0,0,0,1,5,3,4,7,7
13275,Michoacán,Jiménez,0,0,0,0,0,0,0,0,1
34199,Michoacán,Jiquilpan,0,0,2,0,0,4,5,7,2
13604,Michoacán,Juárez,0,0,0,0,0,0,1,0,0
19986,Michoacán,Jungapeo,0,0,0,0,0,0,0,0,1
5506,Michoacán,Lagunillas,0,0,0,0,0,0,0,0,0
17427,Michoacán,Madero,0,0,0,0,0,0,0,0,0
80258,Michoacán,Maravatío,0,0,1,0,0,0,1,2,8
13031,Michoacán,Marcos Castellanos,0,0,0,0,2,2,3,0,0
178817,Michoacán,Lázaro Cárdenas,0,1,0,9,20,13,17,29,26
729279,Michoacán,Morelia,0,1,0,12,10,21,24,65,21
8091,Michoacán,Morelos,0,0,0,0,0,0,0,0,0
44963,Michoacán,Múgica,0,0,0,0,0,0,0,0,1
27174,Michoacán,Nahuatzen,0,0,0,0,0,0,0,0,0
7799,Michoacán,Nocupétaro,0,0,0,0,0,0,0,0,0
18834,Michoacán,Nuevo Parangaricutiro,0,0,0,0,0,0,0,0,0
8240,Michoacán,Nuevo Urecho,0,0,0,0,0,0,0,0,0
9599,Michoacán,Numarán,0,0,0,0,0,0,0,0,0
22628,Michoacán,Ocampo,0,0,0,0,0,0,1,1,0
19450,Michoacán,Pajacuarán,0,0,0,0,0,0,0,0,1
16064,Michoacán,Panindícuaro,0,0,0,0,0,0,1,0,0
25343,Michoacán,Parácuaro,0,0,0,0,0,0,0,1,0
34721,Michoacán,Paracho,0,0,0,0,0,0,1,0,0
87794,Michoacán,Pátzcuaro,0,0,0,0,0,0,1,0,1
17159,Michoacán,Penjamillo,0,0,0,0,0,0,0,0,0
25296,Michoacán,Peribán,0,0,0,0,0,0,0,2,0
99576,Michoacán,La Piedad,0,3,1,2,3,2,6,10,3
15306,Michoacán,Purépero,0,0,0,0,0,0,0,1,0
67837,Michoacán,Puruándiro,0,0,0,0,0,0,2,1,0
13550,Michoacán,Queréndaro,0,0,0,0,0,0,0,0,0
25592,Michoacán,Quiroga,0,0,0,0,0,0,0,0,0
9980,Michoacán,Cojumatlán de Régules,0,0,0,0,0,0,0,0,0
64141,Michoacán,Los Reyes,0,1,4,1,1,2,0,5,2
72841,Michoacán,Sahuayo,0,0,0,1,1,0,1,21,11
18461,Michoacán,San Lucas,0,0,0,0,0,0,0,0,0
12618,Michoacán,Santa Ana Maya,0,0,0,0,0,0,0,0,0
45217,Michoacán,Salvador Escalante,0,0,0,0,0,0,0,0,0
18427,Michoacán,Senguio,0,0,0,0,0,1,0,0,0
8704,Michoacán,Susupuato,0,0,0,0,0,0,0,0,0
69955,Michoacán,Tacámbaro,0,0,0,0,0,1,0,5,0
29414,Michoacán,Tancítaro,0,0,0,0,0,1,0,0,0
27822,Michoacán,Tangamandapio,0,0,0,0,1,0,1,1,1
32677,Michoacán,Tangancícuaro,0,0,0,0,0,3,1,1,2
15176,Michoacán,Tanhuato,0,0,0,1,2,0,1,4,2
13558,Michoacán,Taretan,0,0,0,0,1,0,0,0,0
78623,Michoacán,Tarímbaro,0,0,0,0,0,0,0,0,5
22987,Michoacán,Tepalcatepec,0,0,0,0,0,2,0,1,0
13950,Michoacán,Tingambato,0,0,0,0,0,0,0,0,1
13511,Michoacán,Tingüindín,0,0,0,0,0,0,0,2,0
14274,Michoacán,Tiquicheo de Nicolás Romero,0,0,0,0,0,0,0,0,0
27587,Michoacán,Tlalpujahua,0,0,0,0,0,0,0,0,0
6890,Michoacán,Tlazazalca,0,0,0,0,0,1,0,0,0
11504,Michoacán,Tocumbo,0,0,0,0,0,1,1,1,0
7890,Michoacán,Tumbiscatío,0,0,0,0,0,0,0,0,0
31877,Michoacán,Turicato,0,0,0,0,0,0,0,0,0
26026,Michoacán,Tuxpan,0,0,0,0,0,0,2,3,1
16305,Michoacán,Tuzantla,0,0,0,0,0,0,0,1,0
13556,Michoacán,Tzintzuntzan,0,0,0,0,0,0,0,0,0
9166,Michoacán,Tzitzio,0,0,0,0,0,0,0,0,0
315350,Michoacán,Uruapan,2,3,5,4,11,19,15,17,6
23457,Michoacán,Venustiano Carranza,0,0,1,0,0,1,1,4,0
16991,Michoacán,Villamar,0,0,0,0,0,0,2,0,0
18995,Michoacán,Vista Hermosa,0,1,0,0,4,1,8,4,1
29995,Michoacán,Yurécuaro,0,0,0,1,2,1,5,4,6
73455,Michoacán,Zacapu,0,0,0,4,1,1,1,3,2
186102,Michoacán,Zamora,0,5,4,12,18,24,21,30,21
3247,Michoacán,Zináparo,0,0,0,0,0,0,0,0,0
46666,Michoacán,Zinapécuaro,0,0,0,0,0,0,0,0,0
15222,Michoacán,Ziracuaretiro,0,0,1,0,0,0,0,0,0
155534,Michoacán,Zitácuaro,0,1,5,7,4,3,16,21,6
25576,Michoacán,José Sixto Verduzco,0,0,0,0,0,2,0,0,0
28695,Colima,Armería,0,0,0,0,0,1,5,3,2
146904,Colima,Colima,0,1,0,1,7,0,5,7,5
20888,Colima,Comala,0,0,0,0,0,0,0,0,0
19385,Colima,Coquimatlán,0,0,0,0,0,0,0,1,0
27107,Colima,Cuauhtémoc,0,0,0,0,0,2,0,3,2
5300,Colima,Ixtlahuacán,0,0,0,0,0,0,0,0,0
161420,Colima,Manzanillo,0,0,1,0,3,13,13,22,18
8174,Colima,Minatitlán,0,0,0,0,0,0,0,1,0
112726,Colima,Tecomán,0,1,0,0,1,6,17,19,6
119956,Colima,Villa de Álvarez,0,0,0,0,0,1,3,5,4
